2022-04-07 09:50:57,545 ============================================================
2022-04-07 09:50:57,549 Loading data...
2022-04-07 09:50:57,551 Already preprocessed Training Data Part 1. Loading now...
2022-04-07 09:50:57,589 Already preprocessed Training Data Part2. Loading now...
2022-04-07 09:50:57,598 Already preprocessed Training Data Part3. Loading now...
2022-04-07 09:50:57,606 Already preprocessed this configuration. Loading now...
2022-04-07 09:57:16,390 Training Images: torch.Size([240, 240, 54560])
2022-04-07 09:57:16,391 Training Labels: torch.Size([240, 240, 54560])
2022-04-07 09:57:16,391 Validation Images: torch.Size([240, 240, 12400])
2022-04-07 09:57:16,391 Validation Labels: torch.Size([240, 240, 12400])
2022-04-07 09:57:16,391 ============================================================
2022-04-07 09:57:16,468 17 iterations per epoch. 119351 max iterations 
  0%|                                         | 0/140 [00:00<?, ?it/s]EPOCH: 0
2022-04-07 09:59:18,403 iteration 94 : loss : 0.340036, loss_ce: 0.182138
2022-04-07 09:59:19,970 iteration 95 : loss : 0.354239, loss_ce: 0.179110
2022-04-07 09:59:21,206 iteration 96 : loss : 0.384890, loss_ce: 0.183215
2022-04-07 09:59:22,479 iteration 97 : loss : 0.394444, loss_ce: 0.187050
2022-04-07 09:59:23,613 iteration 98 : loss : 0.400301, loss_ce: 0.175014
2022-04-07 09:59:24,812 iteration 99 : loss : 0.380381, loss_ce: 0.170821
2022-04-07 09:59:26,018 iteration 100 : loss : 0.342853, loss_ce: 0.161474
2022-04-07 09:59:27,257 iteration 101 : loss : 0.363991, loss_ce: 0.163141
2022-04-07 09:59:28,143 iteration 102 : loss : 0.343343, loss_ce: 0.161144
2022-04-07 09:59:29,462 iteration 103 : loss : 0.342130, loss_ce: 0.155600
2022-04-07 09:59:30,601 iteration 104 : loss : 0.378342, loss_ce: 0.175550
2022-04-07 09:59:31,924 iteration 105 : loss : 0.342973, loss_ce: 0.157370
2022-04-07 09:59:33,327 iteration 106 : loss : 0.386995, loss_ce: 0.166401
2022-04-07 09:59:34,648 iteration 107 : loss : 0.324025, loss_ce: 0.152923
2022-04-07 09:59:35,934 iteration 108 : loss : 0.302385, loss_ce: 0.150084
2022-04-07 09:59:37,339 iteration 109 : loss : 0.303776, loss_ce: 0.152250
2022-04-07 09:59:38,915 iteration 110 : loss : 0.309343, loss_ce: 0.142519
2022-04-07 09:59:40,315 iteration 111 : loss : 0.344445, loss_ce: 0.144564
2022-04-07 09:59:41,294 iteration 112 : loss : 0.312568, loss_ce: 0.133735
2022-04-07 09:59:42,549 iteration 113 : loss : 0.297113, loss_ce: 0.134001
2022-04-07 09:59:43,748 iteration 114 : loss : 0.311169, loss_ce: 0.146821
2022-04-07 09:59:44,808 iteration 115 : loss : 0.324362, loss_ce: 0.132737
2022-04-07 09:59:46,115 iteration 116 : loss : 0.281383, loss_ce: 0.130817
2022-04-07 09:59:47,314 iteration 117 : loss : 0.346211, loss_ce: 0.148849
2022-04-07 09:59:48,709 iteration 118 : loss : 0.273594, loss_ce: 0.124700
2022-04-07 09:59:49,768 iteration 119 : loss : 0.310764, loss_ce: 0.121224
2022-04-07 09:59:51,319 iteration 120 : loss : 0.299537, loss_ce: 0.112755
2022-04-07 09:59:52,423 iteration 121 : loss : 0.292778, loss_ce: 0.122065
2022-04-07 09:59:53,823 iteration 122 : loss : 0.293602, loss_ce: 0.115784
2022-04-07 09:59:55,320 iteration 123 : loss : 0.307758, loss_ce: 0.124582
2022-04-07 09:59:56,436 iteration 124 : loss : 0.275666, loss_ce: 0.118890
2022-04-07 09:59:57,358 iteration 125 : loss : 0.309886, loss_ce: 0.112510
2022-04-07 09:59:58,681 iteration 126 : loss : 0.232285, loss_ce: 0.106945
2022-04-07 09:59:59,878 iteration 127 : loss : 0.272344, loss_ce: 0.107211
2022-04-07 10:00:01,189 iteration 128 : loss : 0.244885, loss_ce: 0.101971
2022-04-07 10:00:02,844 iteration 129 : loss : 0.257183, loss_ce: 0.104796
2022-04-07 10:00:03,830 iteration 130 : loss : 0.325106, loss_ce: 0.107176
2022-04-07 10:00:05,598 iteration 131 : loss : 0.305698, loss_ce: 0.100892
2022-04-07 10:00:06,831 iteration 132 : loss : 0.306673, loss_ce: 0.102086
2022-04-07 10:00:08,080 iteration 133 : loss : 0.205578, loss_ce: 0.089338
2022-04-07 10:00:09,627 iteration 134 : loss : 0.283055, loss_ce: 0.095665
2022-04-07 10:00:10,781 iteration 135 : loss : 0.246488, loss_ce: 0.098400
2022-04-07 10:00:11,883 iteration 136 : loss : 0.266747, loss_ce: 0.092980
2022-04-07 10:00:13,044 iteration 137 : loss : 0.289798, loss_ce: 0.093817
2022-04-07 10:00:14,580 iteration 138 : loss : 0.250705, loss_ce: 0.082875
2022-04-07 10:00:15,708 iteration 139 : loss : 0.265140, loss_ce: 0.082890
2022-04-07 10:00:16,951 iteration 140 : loss : 0.254879, loss_ce: 0.081150
2022-04-07 10:00:18,304 iteration 141 : loss : 0.209348, loss_ce: 0.079342
2022-04-07 10:00:19,327 iteration 142 : loss : 0.309849, loss_ce: 0.089436
2022-04-07 10:00:20,430 iteration 143 : loss : 0.239048, loss_ce: 0.087739
2022-04-07 10:00:21,905 iteration 144 : loss : 0.294661, loss_ce: 0.091304
2022-04-07 10:00:22,910 iteration 145 : loss : 0.191384, loss_ce: 0.079095
2022-04-07 10:00:24,108 iteration 146 : loss : 0.236277, loss_ce: 0.095367
2022-04-07 10:00:25,472 iteration 147 : loss : 0.237369, loss_ce: 0.082991
2022-04-07 10:00:26,727 iteration 148 : loss : 0.229052, loss_ce: 0.081453
2022-04-07 10:00:28,269 iteration 149 : loss : 0.184482, loss_ce: 0.075348
2022-04-07 10:00:29,296 iteration 150 : loss : 0.314305, loss_ce: 0.078162
2022-04-07 10:00:30,674 iteration 151 : loss : 0.156452, loss_ce: 0.069504
2022-04-07 10:00:31,944 iteration 152 : loss : 0.184921, loss_ce: 0.073330
2022-04-07 10:00:33,514 iteration 153 : loss : 0.190906, loss_ce: 0.071046
2022-04-07 10:00:35,219 iteration 154 : loss : 0.239957, loss_ce: 0.069979
2022-04-07 10:00:36,327 iteration 155 : loss : 0.175459, loss_ce: 0.066214
2022-04-07 10:00:37,535 iteration 156 : loss : 0.179193, loss_ce: 0.066641
2022-04-07 10:00:38,491 iteration 157 : loss : 0.216012, loss_ce: 0.070423
2022-04-07 10:00:40,123 iteration 158 : loss : 0.183345, loss_ce: 0.067522
2022-04-07 10:00:41,260 iteration 159 : loss : 0.235257, loss_ce: 0.062222
2022-04-07 10:00:42,339 iteration 160 : loss : 0.167033, loss_ce: 0.063006
2022-04-07 10:00:43,717 iteration 161 : loss : 0.182861, loss_ce: 0.063978
2022-04-07 10:00:45,228 iteration 162 : loss : 0.175753, loss_ce: 0.066551
2022-04-07 10:00:46,348 iteration 163 : loss : 0.167336, loss_ce: 0.057766
2022-04-07 10:00:47,417 iteration 164 : loss : 0.198671, loss_ce: 0.059116
2022-04-07 10:00:48,561 iteration 165 : loss : 0.182228, loss_ce: 0.055964
2022-04-07 10:00:49,971 iteration 166 : loss : 0.221647, loss_ce: 0.057581
2022-04-07 10:00:51,113 iteration 167 : loss : 0.167914, loss_ce: 0.052769
2022-04-07 10:00:52,312 iteration 168 : loss : 0.163958, loss_ce: 0.051409
2022-04-07 10:00:53,804 iteration 169 : loss : 0.222546, loss_ce: 0.055438
2022-04-07 10:00:55,215 iteration 170 : loss : 0.234346, loss_ce: 0.053865
2022-04-07 10:00:56,470 iteration 171 : loss : 0.166596, loss_ce: 0.046614
2022-04-07 10:00:57,830 iteration 172 : loss : 0.183684, loss_ce: 0.048890
2022-04-07 10:00:59,018 iteration 173 : loss : 0.141310, loss_ce: 0.045453
2022-04-07 10:01:00,473 iteration 174 : loss : 0.193820, loss_ce: 0.057380
2022-04-07 10:01:01,909 iteration 175 : loss : 0.164511, loss_ce: 0.049725
2022-04-07 10:01:03,309 iteration 176 : loss : 0.231119, loss_ce: 0.054563
2022-04-07 10:01:04,621 iteration 177 : loss : 0.148082, loss_ce: 0.045140
2022-04-07 10:01:05,871 iteration 178 : loss : 0.173068, loss_ce: 0.052189
2022-04-07 10:01:07,194 iteration 179 : loss : 0.145511, loss_ce: 0.051227
2022-04-07 10:01:08,075 iteration 180 : loss : 0.212706, loss_ce: 0.043957
2022-04-07 10:01:09,126 iteration 181 : loss : 0.166099, loss_ce: 0.046617
2022-04-07 10:01:10,230 iteration 182 : loss : 0.134324, loss_ce: 0.047136
2022-04-07 10:01:11,436 iteration 183 : loss : 0.170956, loss_ce: 0.051337
2022-04-07 10:01:12,774 iteration 184 : loss : 0.231897, loss_ce: 0.066941
2022-04-07 10:01:14,351 iteration 185 : loss : 0.220958, loss_ce: 0.055898
2022-04-07 10:01:15,432 iteration 186 : loss : 0.132315, loss_ce: 0.045358
2022-04-07 10:01:16,587 iteration 187 : loss : 0.138522, loss_ce: 0.044555
2022-04-07 10:01:18,109 iteration 188 : loss : 0.130253, loss_ce: 0.050538
2022-04-07 10:01:19,713 iteration 189 : loss : 0.202956, loss_ce: 0.051011
2022-04-07 10:01:20,749 iteration 190 : loss : 0.162208, loss_ce: 0.049380
2022-04-07 10:01:22,027 iteration 191 : loss : 0.208438, loss_ce: 0.055965
2022-04-07 10:01:23,531 iteration 192 : loss : 0.196665, loss_ce: 0.046238
2022-04-07 10:01:24,857 iteration 193 : loss : 0.169597, loss_ce: 0.043630
2022-04-07 10:01:26,021 iteration 194 : loss : 0.133286, loss_ce: 0.047911
2022-04-07 10:01:27,292 iteration 195 : loss : 0.206992, loss_ce: 0.046423
2022-04-07 10:01:28,649 iteration 196 : loss : 0.170897, loss_ce: 0.047260
2022-04-07 10:01:29,687 iteration 197 : loss : 0.245658, loss_ce: 0.050335
2022-04-07 10:01:31,054 iteration 198 : loss : 0.178888, loss_ce: 0.046797
2022-04-07 10:01:32,316 iteration 199 : loss : 0.200715, loss_ce: 0.049699
2022-04-07 10:01:33,469 iteration 200 : loss : 0.189701, loss_ce: 0.042760
2022-04-07 10:01:34,877 iteration 201 : loss : 0.100679, loss_ce: 0.036955
2022-04-07 10:01:36,366 iteration 202 : loss : 0.185223, loss_ce: 0.040373
2022-04-07 10:01:37,751 iteration 203 : loss : 0.104485, loss_ce: 0.034942
2022-04-07 10:01:38,791 iteration 204 : loss : 0.166570, loss_ce: 0.035283
2022-04-07 10:01:39,428 iteration 205 : loss : 0.158745, loss_ce: 0.041479
2022-04-07 10:01:40,499 iteration 206 : loss : 0.187904, loss_ce: 0.049265
2022-04-07 10:01:41,762 iteration 207 : loss : 0.151187, loss_ce: 0.039443
2022-04-07 10:01:43,021 iteration 208 : loss : 0.242162, loss_ce: 0.046570
2022-04-07 10:01:44,506 iteration 209 : loss : 0.122566, loss_ce: 0.034801
2022-04-07 10:01:45,525 iteration 210 : loss : 0.207907, loss_ce: 0.038854
2022-04-07 10:01:46,702 iteration 211 : loss : 0.155352, loss_ce: 0.039124
2022-04-07 10:01:48,430 iteration 212 : loss : 0.190743, loss_ce: 0.057338
2022-04-07 10:01:49,459 iteration 213 : loss : 0.227646, loss_ce: 0.038164
2022-04-07 10:01:50,840 iteration 214 : loss : 0.111984, loss_ce: 0.032224
2022-04-07 10:01:51,965 iteration 215 : loss : 0.159411, loss_ce: 0.038767
2022-04-07 10:01:53,519 iteration 216 : loss : 0.143978, loss_ce: 0.036173
2022-04-07 10:01:55,010 iteration 217 : loss : 0.336196, loss_ce: 0.043050
2022-04-07 10:01:56,354 iteration 218 : loss : 0.121022, loss_ce: 0.032637
2022-04-07 10:01:57,932 iteration 219 : loss : 0.177212, loss_ce: 0.031773
2022-04-07 10:01:59,574 iteration 220 : loss : 0.154754, loss_ce: 0.036319
2022-04-07 10:02:00,896 iteration 221 : loss : 0.166499, loss_ce: 0.036256
2022-04-07 10:02:02,104 iteration 222 : loss : 0.173451, loss_ce: 0.056688
2022-04-07 10:02:03,379 iteration 223 : loss : 0.151171, loss_ce: 0.043832
2022-04-07 10:02:05,088 iteration 224 : loss : 0.167770, loss_ce: 0.040190
2022-04-07 10:02:06,232 iteration 225 : loss : 0.159775, loss_ce: 0.036250
2022-04-07 10:02:07,750 iteration 226 : loss : 0.242296, loss_ce: 0.041600
2022-04-07 10:02:08,811 iteration 227 : loss : 0.135959, loss_ce: 0.042963
2022-04-07 10:02:09,835 iteration 228 : loss : 0.137076, loss_ce: 0.038539
2022-04-07 10:02:11,895 iteration 229 : loss : 0.403927, loss_ce: 0.056311
2022-04-07 10:02:13,297 iteration 230 : loss : 0.104761, loss_ce: 0.027356
2022-04-07 10:02:14,865 iteration 231 : loss : 0.127511, loss_ce: 0.029906
2022-04-07 10:02:16,156 iteration 232 : loss : 0.204361, loss_ce: 0.034385
2022-04-07 10:02:17,410 iteration 233 : loss : 0.175573, loss_ce: 0.034208
2022-04-07 10:02:19,185 iteration 234 : loss : 0.174989, loss_ce: 0.038846
2022-04-07 10:02:20,965 iteration 235 : loss : 0.150253, loss_ce: 0.029568
2022-04-07 10:02:22,711 iteration 236 : loss : 0.133968, loss_ce: 0.034320
2022-04-07 10:02:24,022 iteration 237 : loss : 0.095877, loss_ce: 0.027346
2022-04-07 10:02:25,162 iteration 238 : loss : 0.208584, loss_ce: 0.032180
2022-04-07 10:02:26,695 iteration 239 : loss : 0.105608, loss_ce: 0.030103
2022-04-07 10:02:27,790 iteration 240 : loss : 0.125956, loss_ce: 0.031133
2022-04-07 10:02:28,821 iteration 241 : loss : 0.143186, loss_ce: 0.032820
2022-04-07 10:02:30,711 iteration 242 : loss : 0.282643, loss_ce: 0.035725
2022-04-07 10:02:31,794 iteration 243 : loss : 0.167693, loss_ce: 0.030106
2022-04-07 10:02:32,827 iteration 244 : loss : 0.141165, loss_ce: 0.032747
2022-04-07 10:02:34,032 iteration 245 : loss : 0.153332, loss_ce: 0.032467
2022-04-07 10:02:35,777 iteration 246 : loss : 0.072384, loss_ce: 0.024602
2022-04-07 10:02:37,354 iteration 247 : loss : 0.187404, loss_ce: 0.037254
2022-04-07 10:02:38,236 iteration 248 : loss : 0.104041, loss_ce: 0.027977
2022-04-07 10:02:39,617 iteration 249 : loss : 0.113963, loss_ce: 0.026877
2022-04-07 10:02:40,603 iteration 250 : loss : 0.241517, loss_ce: 0.032466
2022-04-07 10:02:41,840 iteration 251 : loss : 0.176033, loss_ce: 0.029775
2022-04-07 10:02:43,061 iteration 252 : loss : 0.166298, loss_ce: 0.031001
